in = 01011011110, out = 0101101011110000
in = 01011011111, out = 0101101011111111
in = 01011100000, out = 0101110000000110
in = 01011100001, out = 0101110000001001
in = 01011100010, out = 0101110000110101
in = 01011100011, out = 0101110000111010
in = 01011100100, out = 0101110001010011
in = 01011100101, out = 0101110001011100
in = 01011100110, out = 0101110001100000
in = 01011100111, out = 0101110001101111
in = 01011101000, out = 0101110010010000
in = 01011101001, out = 0101110010011111
in = 01011101010, out = 0101110010100011
in = 01011101011, out = 0101110010101100
in = 01011101100, out = 0101110011000101
in = 01011101101, out = 0101110011001010
in = 01011101110, out = 0101110011110110
in = 01011101111, out = 0101110011111001
in = 01011110000, out = 0101111100000101
in = 01011110001, out = 0101111100001010
in = 01011110010, out = 0101111100110110
in = 01011110011, out = 0101111100111001
in = 01011110100, out = 0101111101010000
in = 01011110101, out = 0101111101011111
in = 01011110110, out = 0101111101100011
in = 01011110111, out = 0101111101101100
in = 01011111000, out = 0101111110010011
in = 01011111001, out = 0101111110011100
in = 01011111010, out = 0101111110100000
in = 01011111011, out = 0101111110101111
in = 01011111100, out = 0101111111000110
in = 01011111101, out = 0101111111001001
in = 01011111110, out = 0101111111110101
in = 01011111111, out = 0101111111111010
in = 01100000000, out = 0110000000000110
in = 01100000001, out = 0110000000001001
in = 01100000010, out = 0110000000110101
in = 01100000011, out = 0110000000111010
in = 01100000100, out = 0110000001010011
in = 01100000101, out = 0110000001011100
in = 01100000110, out = 0110000001100000
in = 01100000111, out = 0110000001101111
in = 01100001000, out = 0110000010010000
